osm_id,name,city,state,lat,lon
321019086,Skatepark de Anchieta,,,-22.833173,-43.4048213
321019087,Skatepark Allan Mesquita,,,-22.8862683,-42.0203255
321609089,Pista de Realengo,,,-22.8721974,-43.432853
321829069,Skatepark de Rio das Ostras,,,-22.5158828,-41.9484902
321896297,Pista de Nilópolis,,,-22.8102902,-43.4048552
323121603,,,,-19.9594576,-44.1979862
324834968,,,,-30.1148426,-51.3137995
329290988,Pista de Skate,,,-29.6965725,-53.8188551
329423235,,,,-27.5801092,-48.6006418
329597276,Pista de Skate,,,-20.2407174,-43.8009194
331759080,,,,-21.9553316,-47.9871262
333423787,,,,-18.8960107,-48.2778743
333601109,Skate,,,-18.9654094,-49.4686758
334904992,Pista de Skate,,,-19.7447439,-45.251671
336125395,Área de Skate,,,-20.358531,-40.3047875
337471867,,,,-29.1452767,-51.1618963
343003918,,,,-14.8600899,-40.8452717
344414857,,,,-20.442694,-40.3509519
347397648,,,,-24.0294211,-46.4729788
350945904,Pista de Esportes Radicais Guido Hering,,,-26.9128004,-49.0880982
351265396,,,,-30.0559034,-51.0821637
366557783,Pista de skate,,,-21.9090993,-47.6324788
370756946,Pista de Skate,,,-26.4755027,-49.0903342
370757166,Pista de Skate,,,-26.486451,-49.1033616
375232876,Pista de Skate,,,-26.2472972,-53.6396125
376109518,,,,-25.5440916,-49.2578247
377623008,,,,-5.0836445,-42.7930048
380104690,,,,2.8058968,-60.7419194
382259079,,,,-20.3541379,-40.3341418
382259081,,,,-20.354832,-40.3340079
382361621,,,,-15.7772756,-47.7806464
383559403,,,,-28.4640602,-52.189889
384460339,,,,-22.8601696,-43.2681526
385052210,,,,-23.343383,-52.1016176
385101552,,,,-24.0950052,-48.366633
386249281,,,,-23.1763902,-46.8896967
388916138,,,,-21.0114602,-40.8087393
390223827,,,,-23.4841256,-46.4559825
395016426,,,,-27.0952741,-52.6208833
398440308,,,,-23.0189836,-43.4606048
398632077,,,,-24.9621413,-53.4518713
398733499,,,,-20.221581,-40.228163
399107969,,,,-24.1022946,-46.6378124
399152287,,,,-23.193623,-45.791462
399348562,,,,-29.3987578,-51.9426369
406341630,Pista de Skate,,,-23.4547774,-46.5313174
407777747,Pista de skate do Aquárius,,,-23.2173528,-45.9025148
411668042,,,,-23.2784016,-47.6787994
411668043,,,,-23.2783924,-47.6785007
413679768,,,,-29.9996944,-51.075932
414707762,,,,-20.7058146,-44.8236124
416265984,,,,-3.7312029,-38.5095635
422866599,Pista de Skate,,,-26.2737486,-49.3910437
424342009,,,,-15.8957371,-47.7772546
431324164,Pista de Skate,,,-22.4040848,-50.5867734
435857850,,,,-20.375246,-40.3486596
437336852,Pista de skate Carlos Alberto Ravanini,,,-22.1915123,-47.3710578
438789248,Mini rampa do antigo jardim zoológico,,,-22.916297,-43.2619367
439087293,,,,-29.1054557,-49.6317234
440508046,,,,-14.0679489,-42.4803033
440750630,Pista de Bicicross Professor Mauro Bastos,,,-22.5265,-41.9342692
443809522,,,,-22.8547523,-46.0294435
446606639,Pista de skate,,,-20.3200687,-40.3561768
447888573,Pista de skate,,,-7.1472959,-34.843317
448350686,,,,-12.9691897,-38.4317195
450770500,,,,-19.6074363,-44.022274
